candidate_id,split,rows,mean_pinball,pinball_q10,pinball_q50,pinball_q90,coverage_80,coverage_80_error,core_crossing_rows,core_crossing_rate,q50_unique,median_q50_unique_per_origin,origins_q50_unique_ge_10_rate,rank_dates,mean_date_spearman,median_date_spearman,positive_date_spearman_rate,mean_top_bottom_20_spread,horizon_months
CATBOOST_FIXED_ES_C_BALANCED,COMMON_HOLDOUT,2444,0.05893510178788564,0.03860640187586067,0.09304673631165687,0.0451521671761394,0.8220130932896891,0.022013093289689034,0,0.0,165,4.0,0.019230769230769232,52,0.052105617995593385,0.052383657640523724,0.6346153846153846,0.014168962505096003,3
CATBOOST_FIXED_ES_C_BALANCED,LATE_BACKTEST,2177,0.05634303306341362,0.030672713459255752,0.08985968653289358,0.04849669919809154,0.7900780891134589,0.009921910886541152,0,0.0,142,9.0,0.4,40,0.030355227850231446,-0.0067215512079717874,0.5,0.0026386377632719137,3
ROLLING_BAGGED_HUBER_Q50,DEVELOPMENT,10302,0.06871445893292497,0.042499767197336565,0.10600056914826644,0.0576430404531719,0.6917103475053388,0.10828965249466127,0,0.0,6354,44.0,0.9157303370786517,178,0.013987198264128151,0.036913141376866146,0.5617977528089888,0.0060256628306015626,3
ROLLING_BAGGED_HUBER_Q50,COMMON_HOLDOUT,2444,0.05806470745248692,0.03722074190845377,0.09120029430666018,0.04577308614234679,0.8261047463175123,0.02610474631751225,0,0.0,1076,20.5,0.9807692307692307,52,0.07488100291550881,0.04982633071700955,0.6346153846153846,0.030956080704599584,3
ROLLING_BAGGED_HUBER_Q50,LATE_BACKTEST,2177,0.06382999656878881,0.03562543256972224,0.1053285182954474,0.05053603884119677,0.7046394120349104,0.09536058796508962,0,0.0,1227,32.0,1.0,40,0.02643063639140795,0.014641370254573582,0.6,0.009584080017621201,3
UNIVERSE58_RESIDUAL_TWO_STAGE_Q50,DEVELOPMENT,10302,0.06795369570928796,0.04180164356363667,0.10498595530971407,0.05707348825451312,0.695204814599107,0.10479518540089305,0,0.0,1132,17.0,0.9325842696629213,178,-0.0006748730046049521,-0.0017092605529919825,0.5,0.015447901424815036,3
UNIVERSE58_RESIDUAL_TWO_STAGE_Q50,COMMON_HOLDOUT,2444,0.05923670737871325,0.03740571598544165,0.09486504082773711,0.04543936532296097,0.8273322422258592,0.02733224222585917,0,0.0,43,9.0,0.25,52,0.04045221248484156,0.02444530718278611,0.5192307692307693,0.02319903226606283,3
UNIVERSE58_RESIDUAL_TWO_STAGE_Q50,LATE_BACKTEST,2177,0.05749362410377348,0.03162098790290917,0.09320597671640656,0.047653907692004734,0.7602204869085898,0.03977951309141026,0,0.0,99,9.0,0.375,40,-0.022299460831017533,-0.0006634520277004276,0.5,-0.022497521197800054,3
LIGHTGBM_CATBOOST_DEV_WEIGHTED_ENSEMBLE,DEVELOPMENT,10302,0.06808978057518995,0.04171326698477134,0.10535323731230142,0.05720283742849709,0.693069306930693,0.10693069306930703,0,0.0,5849,55.0,0.5898876404494382,155,0.02597980342906356,0.04683633371972264,0.6064516129032258,0.015979584144625674,3
LIGHTGBM_CATBOOST_DEV_WEIGHTED_ENSEMBLE,COMMON_HOLDOUT,2444,0.05812153089088374,0.037679133881033805,0.09132251071142083,0.04536294808019658,0.8277414075286416,0.027741407528641515,0,0.0,352,6.0,0.23076923076923078,52,0.06437778354563871,0.03907863106924202,0.6538461538461539,0.018642078156688453,3
LIGHTGBM_CATBOOST_DEV_WEIGHTED_ENSEMBLE,LATE_BACKTEST,2177,0.05771107449250965,0.03127968040980289,0.09398916353607355,0.0478643795316525,0.7694074414331649,0.030592558566835182,0,0.0,481,14.0,0.8,40,-0.006394439925897855,-0.033731065591173934,0.4,-0.00603580406676094,3
EMPIRICAL_INTERVAL_TWO_STAGE_ROLLING_Q50,DEVELOPMENT,10302,0.06889004070660751,0.04293411364015608,0.10502757233676858,0.05870843614289787,0.693263443991458,0.10673655600854204,0,0.0,7638,53.0,1.0,178,0.00884273711375118,-0.0009669905616783105,0.5,0.0195303522450274,3
EMPIRICAL_INTERVAL_TWO_STAGE_ROLLING_Q50,COMMON_HOLDOUT,2444,0.05945923504125675,0.038892822690353795,0.09424962370379185,0.045235258729624604,0.8216039279869067,0.02160392798690669,0,0.0,1437,28.0,1.0,52,0.05412883503390241,0.040659106310319694,0.6346153846153846,0.021158998208797766,3
EMPIRICAL_INTERVAL_TWO_STAGE_ROLLING_Q50,LATE_BACKTEST,2177,0.057763966613676665,0.03028262458596692,0.0943218119529877,0.04868746330207539,0.7978870004593477,0.0021129995406523605,0,0.0,1498,39.0,1.0,40,-0.002873555302520761,0.012801929325554842,0.525,-0.005980263768740007,3
FULL_FIXED_ES_QUANTILE,DEVELOPMENT,10170,0.09537244008173969,0.05371299745583226,0.15006956249663933,0.08233476029274749,0.6861356932153392,0.11386430678466086,0,0.0,6629,58.0,0.7078651685393258,178,-0.08460823363440768,-0.1154613993071821,0.2752808988764045,-0.0564824969361957,6
FULL_FIXED_ES_QUANTILE,COMMON_HOLDOUT,2444,0.10911945958573466,0.10660323926402696,0.16264861169021924,0.058106527802957796,0.5188216039279869,0.2811783960720131,0,0.0,2346,46.0,1.0,52,-0.14959698061549656,-0.15428871564725186,0.019230769230769232,-0.04850249089940363,6
FULL_FIXED_ES_QUANTILE,LATE_BACKTEST,1423,0.16855753359950634,0.14346965296115777,0.28409634999374556,0.07810659784361568,0.24595924104005623,0.5540407589599439,0,0.0,1064,46.0,1.0,27,0.07420159816360086,0.0678685708251318,0.5925925925925926,0.07410253786035709,6
FULL_HUBER_Q50,DEVELOPMENT,10170,0.09493494913834155,0.05371299745583226,0.1487570896664449,0.08233476029274749,0.6861356932153392,0.11386430678466086,0,0.0,4843,43.5,0.7078651685393258,178,-0.055174151697699195,-0.05650672768201226,0.3258426966292135,-0.016244134824248253,6
FULL_HUBER_Q50,COMMON_HOLDOUT,2444,0.0999005406851849,0.10660323926402696,0.13499185498857,0.058106527802957796,0.5188216039279869,0.2811783960720131,0,0.0,1643,39.0,1.0,52,-0.08134512813524414,-0.055199012109733214,0.4230769230769231,-0.025797564281124848,6
FULL_HUBER_Q50,LATE_BACKTEST,1423,0.14781848415191992,0.14346965296115777,0.2218792016509863,0.07810659784361568,0.24595924104005623,0.5540407589599439,0,0.0,736,39.0,1.0,27,0.05275699357491145,0.03285072436053782,0.5555555555555556,0.03299831707057542,6
SHORT_FIXED_ES_QUANTILE,DEVELOPMENT,10170,0.10204508854222342,0.05772509798293039,0.1585930244976902,0.08981714314604969,0.668534906588004,0.13146509341199608,4,0.00039331366764995085,3300,4.0,0.4157303370786517,155,0.04850283214201764,0.04380848914718306,0.6129032258064516,0.023094618104157097,6
SHORT_FIXED_ES_QUANTILE,COMMON_HOLDOUT,2444,0.11523795663698537,0.15837568965015805,0.12717798542085598,0.06016019483994207,0.4030278232405892,0.3969721767594108,780,0.3191489361702128,888,17.0,0.9807692307692307,52,-0.012637226579937181,0.026677763636959825,0.5576923076923077,0.038153721678829806,6
SHORT_FIXED_ES_QUANTILE,LATE_BACKTEST,1423,0.1462998825138393,0.1653156030169834,0.19151128371332518,0.08207276081120927,0.23330990864371048,0.5666900913562896,0,0.0,47,4.0,0.0,27,0.19575610116955974,0.19851465323410034,0.9629629629629629,0.04491401918235382,6
SHORT_HUBER_Q50,DEVELOPMENT,10170,0.10173069103913479,0.05772509798293039,0.15764983198842433,0.08981714314604969,0.668534906588004,0.13146509341199608,0,0.0,3839,5.0,0.4157303370786517,161,-0.00832944347527818,0.006989053729532853,0.5217391304347826,-0.005250714770308945,6
SHORT_HUBER_Q50,COMMON_HOLDOUT,2444,0.11614392485131775,0.15837568965015805,0.12989589006385313,0.06016019483994207,0.4030278232405892,0.3969721767594108,720,0.2945990180032733,1407,32.0,1.0,52,-0.08100049302897577,-0.0439969713084558,0.4230769230769231,-0.01701981525021181,6
SHORT_HUBER_Q50,LATE_BACKTEST,1423,0.15054731464860935,0.1653156030169834,0.2042535801176354,0.08207276081120927,0.23330990864371048,0.5666900913562896,0,0.0,697,33.0,1.0,27,-0.018054541312012326,-0.027943407666751692,0.4444444444444444,0.008772756000593625,6
CATBOOST_FIXED_ES_C_SHALLOW,DEVELOPMENT,10170,0.09738088523841022,0.058374271628175864,0.15147412068614677,0.08229426340090808,0.664306784660767,0.13569321533923306,0,0.0,6075,56.0,0.7078651685393258,178,-0.047727182443494755,-0.06152567551591864,0.3707865168539326,-0.030071829247237062,6
